cowcode,stateabb,statename,ethnicity_relevant,year_from,year_to,group_name,size,status,warid,warid2,groupid,cowgroupid,markertype
349,SLV,Slovenia,Yes,1992,2010,Slovenes,0.831,DOMINANT,,,1000,34901000,Ethno-Linguistic
160,ARG,Argentina,Yes,1946,1988,Argentinians,0.83,MONOPOLY,,,1000,16001000,Mixed Category
160,ARG,Argentina,Yes,1989,2010,Argentinians,0.83,DOMINANT,,,1000,16001000,Mixed Category
345,YUG,Yugoslavia,Yes,2008,2010,Serbs,0.83,DOMINANT,,,1000,34501000,Ethno-Religious
355,BUL,Bulgaria,Yes,1946,1989,Bulgarians,0.83,MONOPOLY,,,1000,35501000,Mixed Category
355,BUL,Bulgaria,Yes,1990,1991,Bulgarians,0.83,MONOPOLY,,,1000,35501000,Mixed Category
355,BUL,Bulgaria,Yes,1992,2010,Bulgarians,0.83,SENIOR PARTNER,,,1000,35501000,Mixed Category
482,CEN,Central African Republic,Yes,1960,1965,"Northern groups (Baya, Banda, Mandjia, Sara)",0.83,POWERLESS,,,5000,48205000,Ethno-Regional
482,CEN,Central African Republic,Yes,1966,1969,"Northern groups (Baya, Banda, Mandjia, Sara)",0.83,JUNIOR PARTNER,,,5000,48205000,Ethno-Regional
482,CEN,Central African Republic,Yes,1970,1981,"Northern groups (Baya, Banda, Mandjia, Sara)",0.83,POWERLESS,,,5000,48205000,Ethno-Regional
482,CEN,Central African Republic,Yes,1982,1993,"Northern groups (Baya, Banda, Mandjia, Sara)",0.83,POWERLESS,,,5000,48205000,Ethno-Regional
200,UK,United Kingdom,Yes,1946,1963,English,0.815,SENIOR PARTNER,,,1000,20001000,Mixed Category
200,UK,United Kingdom,Yes,1964,1971,English,0.815,SENIOR PARTNER,,,1000,20001000,Mixed Category
200,UK,United Kingdom,Yes,1972,1997,English,0.815,SENIOR PARTNER,,,1000,20001000,Mixed Category
200,UK,United Kingdom,Yes,1998,2010,English,0.815,SENIOR PARTNER,,,1000,20001000,Mixed Category
317,SLO,Slovakia,Yes,1993,1997,Slovaks,0.806,MONOPOLY,,,1000,31701000,Ethno-Linguistic
317,SLO,Slovakia,Yes,1998,2005,Slovaks,0.806,SENIOR PARTNER,,,1000,31701000,Ethno-Linguistic
317,SLO,Slovakia,Yes,2006,2010,Slovaks,0.806,MONOPOLY,,,1000,31701000,Ethno-Linguistic
704,UZB,Uzbekistan,Yes,1991,2010,Uzbeks,0.8,DOMINANT,,,6000,70406000,Ethno-Linguistic
365,RUS,Russia,Yes,1991,2002,Russians,0.798,DOMINANT,,,1000,36501000,Ethno-Linguistic
365,RUS,Russia,Yes,2003,2010,Russians,0.798,DOMINANT,,,1000,36501000,Ethno-Linguistic
811,CAM,Cambodia,Yes,1953,1969,Khmer,0.795,SENIOR PARTNER,,,3000,81103000,Ethno-Linguistic
702,TAJ,Tajikistan,Yes,1991,1992,Tajiks,0.787,SENIOR PARTNER,,,3000,70203000,Ethno-Linguistic
702,TAJ,Tajikistan,Yes,1993,1996,Tajiks,0.787,SENIOR PARTNER,,,3000,70203000,Ethno-Linguistic
702,TAJ,Tajikistan,Yes,1997,2010,Tajiks,0.787,DOMINANT,,,3000,70203000,Ethno-Linguistic
344,CRO,Croatia,Yes,1992,1993,Croats,0.781,MONOPOLY,,,1000,34401000,Mixed Category
816,DRV,Vietnam,Yes,1954,1974,Kinh (Vietnamese),0.781,DOMINANT,,,2000,81602000,Ethno-Linguistic
816,DRV,Vietnam,Yes,1975,1978,Kinh (Vietnamese),0.781,DOMINANT,,,2000,81602000,Ethno-Linguistic
816,DRV,Vietnam,Yes,1979,2010,Kinh (Vietnamese),0.781,DOMINANT,,,2000,81602000,Ethno-Linguistic
817,RVN,Republic of Vietnam,Yes,1954,1975,Kinh (Vietnamese),0.781,DOMINANT,,,2000,81702000,Ethno-Linguistic
370,BLR,Belarus,Yes,1991,2010,Byelorussians,0.78,SENIOR PARTNER,,,1000,37001000,Ethno-Linguistic
369,UKR,Ukraine,Yes,1991,2010,Ukrainians,0.778,SENIOR PARTNER,,,1000,36901000,Ethno-Linguistic
552,ZIM,Zimbabwe,Yes,1980,1981,Shona,0.77,SENIOR PARTNER,,,1200,55201200,Ethno-Linguistic
552,ZIM,Zimbabwe,Yes,1992,1999,Shona,0.77,SENIOR PARTNER,,,1200,55201200,Ethno-Linguistic
552,ZIM,Zimbabwe,Yes,2000,2008,Shona,0.77,DOMINANT,,,1200,55201200,Ethno-Linguistic
552,ZIM,Zimbabwe,Yes,2009,2010,Shona,0.77,SENIOR PARTNER,,,1200,55201200,Ethno-Linguistic
552,ZIM,Zimbabwe,Yes,1982,1987,Shona (minus Ndau),0.74,SENIOR PARTNER,,,1220,55201220,Ethno-Linguistic
560,SF,South Africa,Yes,1948,1960,Black Africans,0.74,DISCRIMINATED,,,3000,56003000,Ethno-Racial
560,SF,South Africa,Yes,1961,1989,Black Africans,0.74,DISCRIMINATED,25100,,3000,56003000,Ethno-Racial
800,THI,Thailand,Yes,1946,1952,Thai,0.74,DOMINANT,,,3000,80003000,Ethno-Linguistic
800,THI,Thailand,Yes,1953,1965,Thai,0.74,DOMINANT,,,3000,80003000,Ethno-Linguistic
800,THI,Thailand,Yes,1966,1971,Thai,0.74,DOMINANT,,,3000,80003000,Ethno-Linguistic
800,THI,Thailand,Yes,1972,1973,Thai,0.74,SENIOR PARTNER,,,3000,80003000,Ethno-Linguistic
800,THI,Thailand,Yes,1974,1976,Thai,0.74,SENIOR PARTNER,,,3000,80003000,Ethno-Linguistic
800,THI,Thailand,Yes,1977,1979,Thai,0.74,DOMINANT,,,3000,80003000,Ethno-Linguistic
800,THI,Thailand,Yes,1980,1983,Thai,0.74,DOMINANT,,,3000,80003000,Ethno-Linguistic
800,THI,Thailand,Yes,1984,1998,Thai,0.74,DOMINANT,,,3000,80003000,Ethno-Linguistic
800,THI,Thailand,Yes,1999,2001,Thai,0.74,DOMINANT,,,3000,80003000,Ethno-Linguistic
800,THI,Thailand,Yes,2002,2010,Thai,0.74,DOMINANT,,,3000,80003000,Ethno-Linguistic
100,COL,Colombia,Yes,1946,1991,Columbians,0.73,MONOPOLY,,,1000,10001000,Mixed Category
100,COL,Colombia,Yes,1992,2010,Columbians,0.73,DOMINANT,,,1000,10001000,Mixed Category
560,SF,South Africa,Yes,1946,1947,Black Africans,0.72,DISCRIMINATED,,,3000,56003000,Ethno-Racial
615,ALG,Algeria,Yes,1962,2010,Arabs,0.72,DOMINANT,,,1000,61501000,Ethno-Linguistic
640,TUR,Turkey,Yes,1946,2005,Turkish,0.718,DOMINANT,,,2000,64002000,Ethno-Linguistic
678,YAR,Yemen Arab Republic,Yes,1946,1989,Sunni Shafi'I (Arab),0.7,JUNIOR PARTNER,,,1000,67801000,Ethno-Religious
780,SRI,Sri Lanka,Yes,1948,1955,Sinhalese,0.7,DOMINANT,,,3000,78003000,Ethno-Linguistic
780,SRI,Sri Lanka,Yes,1964,1983,Sinhalese,0.7,DOMINANT,,,3000,78003000,Ethno-Linguistic
780,SRI,Sri Lanka,Yes,1984,1984,Sinhalese,0.7,DOMINANT,,,3000,78003000,Ethno-Linguistic
780,SRI,Sri Lanka,Yes,1985,1986,Sinhalese,0.7,SENIOR PARTNER,,,3000,78003000,Ethno-Linguistic
780,SRI,Sri Lanka,Yes,1987,1987,Sinhalese,0.7,SENIOR PARTNER,,,3000,78003000,Ethno-Linguistic
780,SRI,Sri Lanka,Yes,1988,2010,Sinhalese,0.7,SENIOR PARTNER,,,3000,78003000,Ethno-Linguistic
372,GRG,Georgia,Yes,1991,2010,Georgians,0.694,DOMINANT,,,1000,37201000,Ethno-Linguistic
2,USA,United States of America,Yes,1946,1965,Whites,0.691,MONOPOLY,,,1000,201000,Ethno-Racial
2,USA,United States of America,Yes,1966,2008,Whites,0.691,DOMINANT,,,1000,201000,Ethno-Racial
2,USA,United States of America,Yes,2009,2010,Whites,0.691,SENIOR PARTNER,,,1000,201000,Ethno-Racial
130,ECU,Ecuador,Yes,1946,1979,Ecuadorians,0.69,MONOPOLY,,,2000,13002000,Mixed Category
130,ECU,Ecuador,Yes,1980,1984,Ecuadorians,0.69,MONOPOLY,,,2000,13002000,Mixed Category
130,ECU,Ecuador,Yes,1985,2010,Ecuadorians,0.69,DOMINANT,,,2000,13002000,Mixed Category
230,SP,Spain,Yes,1946,1978,Spanish,0.68,MONOPOLY,,,1000,23001000,Ethno-Linguistic
230,SP,Spain,Yes,1979,2010,Spanish,0.68,MONOPOLY,,,1000,23001000,Ethno-Linguistic
345,YUG,Yugoslavia,Yes,2006,2007,Serbs,0.68,SENIOR PARTNER,,,1000,34501000,Ethno-Religious
775,MYA,Myanmar,Yes,1948,1957,Bamar (Barman),0.68,SENIOR PARTNER,,,1000,77501000,Ethno-Linguistic
775,MYA,Myanmar,Yes,1958,1958,Bamar (Barman),0.68,SENIOR PARTNER,,,1000,77501000,Ethno-Linguistic
775,MYA,Myanmar,Yes,1959,1959,Bamar (Barman),0.68,DOMINANT,,,1000,77501000,Ethno-Linguistic
775,MYA,Myanmar,Yes,1960,1960,Bamar (Barman),0.68,DOMINANT,,,1000,77501000,Ethno-Linguistic
775,MYA,Myanmar,Yes,1961,1989,Bamar (Barman),0.68,DOMINANT,,,1000,77501000,Ethno-Linguistic
775,MYA,Myanmar,Yes,1990,2010,Bamar (Barman),0.68,DOMINANT,,,1000,77501000,Ethno-Linguistic
366,EST,Estonia,Yes,1991,2010,Estonians,0.679,DOMINANT,,,1000,36601000,Ethno-Linguistic
40,CUB,Cuba,Yes,1946,1959,Whites,0.67,DOMINANT,,,1000,4001000,Ethno-Racial
40,CUB,Cuba,No,1960,2010,Whites,0.67,IRRELEVANT,,,1000,4001000,Ethno-Racial
359,MLD,Moldova,Yes,1991,2000,Moldovans,0.67,DOMINANT,,,1000,35901000,Ethno-Linguistic
359,MLD,Moldova,Yes,2001,2010,Moldovans,0.67,SENIOR PARTNER,,,1000,35901000,Ethno-Linguistic
343,MAC,Macedonia,Yes,1993,2010,Macedonians,0.66,SENIOR PARTNER,,,1000,34301000,Mixed Category
640,TUR,Turkey,Yes,2006,2010,Turkish,0.66,DOMINANT,,,2000,64002000,Ethno-Linguistic
703,KYR,Kyrgyzstan,Yes,1991,2010,Kyrgyz,0.649,DOMINANT,,,1000,70301000,Ethno-Linguistic
770,PAK,Pakistan,Yes,1972,1973,Punjabi,0.64,SENIOR PARTNER,,,5000,77005000,Ethno-Linguistic
770,PAK,Pakistan,Yes,1974,1983,Punjabi,0.64,SENIOR PARTNER,,,5000,77005000,Ethno-Linguistic
770,PAK,Pakistan,Yes,1984,2001,Punjabi,0.64,SENIOR PARTNER,,,5000,77005000,Ethno-Linguistic
770,PAK,Pakistan,Yes,2002,2010,Punjabi,0.64,SENIOR PARTNER,,,5000,77005000,Ethno-Linguistic
645,IRQ,Iraq,Yes,1946,1958,Shi'a Arabs,0.63,JUNIOR PARTNER,,,2000,64502000,Ethno-Religious
645,IRQ,Iraq,Yes,1959,1963,Shi'a Arabs,0.63,JUNIOR PARTNER,,,2000,64502000,Ethno-Religious
645,IRQ,Iraq,Yes,1964,1975,Shi'a Arabs,0.63,POWERLESS,,,2000,64502000,Ethno-Religious
645,IRQ,Iraq,Yes,1976,1990,Shi'a Arabs,0.63,POWERLESS,16201,,2000,64502000,Ethno-Religious
645,IRQ,Iraq,Yes,1991,2002,Shi'a Arabs,0.63,DISCRIMINATED,16201,,2000,64502000,Ethno-Religious
645,IRQ,Iraq,Yes,2003,2005,Shi'a Arabs,0.63,SENIOR PARTNER,16203,,2000,64502000,Ethno-Religious
645,IRQ,Iraq,Yes,2006,2010,Shi'a Arabs,0.63,SENIOR PARTNER,16203,,2000,64502000,Ethno-Religious
315,CZE,Czechoslovakia,Yes,1946,1992,Czechs,0.625,SENIOR PARTNER,,,1000,31501000,Ethno-Linguistic
225,SZ,Switzerland,Yes,1946,2010,Swiss Germans,0.622,SENIOR PARTNER,,,1000,22501000,Ethno-Linguistic
345,YUG,Yugoslavia,Yes,1992,1992,Serbs,0.62,SENIOR PARTNER,,,1000,34501000,Ethno-Religious
345,YUG,Yugoslavia,Yes,1993,1999,Serbs,0.62,SENIOR PARTNER,,,1000,34501000,Ethno-Religious
345,YUG,Yugoslavia,Yes,2000,2005,Serbs,0.62,SENIOR PARTNER,,,1000,34501000,Ethno-Religious
652,SYR,Syria,Yes,1946,1948,Sunni Arabs,0.62,SENIOR PARTNER,,,2050,65202050,Ethno-Religious
652,SYR,Syria,Yes,1949,1954,Sunni Arabs,0.62,JUNIOR PARTNER,,,2050,65202050,Ethno-Religious
652,SYR,Syria,Yes,1955,1957,Sunni Arabs,0.62,SENIOR PARTNER,,,2050,65202050,Ethno-Religious
652,SYR,Syria,Yes,1961,1965,Sunni Arabs,0.62,SENIOR PARTNER,,,2050,65202050,Ethno-Religious
652,SYR,Syria,Yes,1966,1969,Sunni Arabs,0.62,JUNIOR PARTNER,,,2050,65202050,Ethno-Religious
652,SYR,Syria,Yes,1970,2005,Sunni Arabs,0.62,POWERLESS,20201,,2050,65202050,Ethno-Religious
652,SYR,Syria,Yes,2006,2010,Sunni Arabs,0.62,POWERLESS,20201,,2050,65202050,Ethno-Religious
552,ZIM,Zimbabwe,Yes,1988,1991,Shona (minus Manyika & Ndau),0.61,SENIOR PARTNER,,,1222,55201222,Ethno-Linguistic
90,GUA,Guatemala,Yes,1946,1990,Guatemalans (Mestizo),0.6,MONOPOLY,,,1000,9001000,Mixed Category
90,GUA,Guatemala,Yes,1991,2010,Guatemalans (Mestizo),0.6,DOMINANT,,,1000,9001000,Mixed Category
145,BOL,Bolivia,Yes,1946,1952,Aymara & Quechua,0.6,DISCRIMINATED,10101,,1000,14501000,Ethno-Linguistic
145,BOL,Bolivia,Yes,1953,1982,Aymara & Quechua,0.6,POWERLESS,,,1000,14501000,Ethno-Linguistic
145,BOL,Bolivia,Yes,1983,1994,Aymara & Quechua,0.6,POWERLESS,,,1000,14501000,Ethno-Linguistic
145,BOL,Bolivia,Yes,1995,2005,Aymara & Quechua,0.6,POWERLESS,,,1000,14501000,Ethno-Linguistic
145,BOL,Bolivia,Yes,2006,2010,Aymara & Quechua,0.6,SENIOR PARTNER,,,1000,14501000,Ethno-Linguistic
20,CAN,Canada,Yes,1946,1981,English speakers,0.59,SENIOR PARTNER,,,1000,2001000,Ethno-Linguistic
20,CAN,Canada,Yes,1982,2010,English speakers,0.59,SENIOR PARTNER,,,1000,2001000,Ethno-Linguistic
211,BE,Belgium,Yes,1946,1969,Flemings,0.59,JUNIOR PARTNER,,,1000,21101000,Ethno-Linguistic
211,BE,Belgium,Yes,1970,2010,Flemings,0.59,SENIOR PARTNER,,,1000,21101000,Ethno-Linguistic
367,LAT,Latvia,Yes,1991,2010,Latvians,0.586,DOMINANT,,,1000,36701000,Ethno-Linguistic
663,JOR,Jordan,Yes,1946,2010,Palestinians,0.58,DISCRIMINATED,,,2000,66302000,Ethno-Regional
820,MAL,Malaysia,Yes,1957,2010,Malays,0.577,SENIOR PARTNER,,,5000,82005000,Ethno-Racial
710,CHN,China,Yes,1946,1948,Chinese (Han),0.565,MONOPOLY,,,6000,71006000,Ethno-Linguistic
710,CHN,China,Yes,1949,1950,Chinese (Han),0.565,MONOPOLY,,,6000,71006000,Ethno-Linguistic
710,CHN,China,Yes,1951,1958,Chinese (Han),0.565,MONOPOLY,,,6000,71006000,Ethno-Linguistic
710,CHN,China,Yes,1959,1965,Chinese (Han),0.565,MONOPOLY,,,6000,71006000,Ethno-Linguistic
710,CHN,China,Yes,1966,1976,Chinese (Han),0.565,MONOPOLY,,,6000,71006000,Ethno-Linguistic
710,CHN,China,Yes,1977,1983,Chinese (Han),0.565,MONOPOLY,,,6000,71006000,Ethno-Linguistic
710,CHN,China,Yes,1984,2010,Chinese (Han),0.565,MONOPOLY,,,6000,71006000,Ethno-Linguistic
436,NIR,Niger,Yes,1960,1989,Hausa,0.56,POWERLESS,,,2000,43602000,Ethno-Linguistic
